website,name,telnumber,address,logo,email
http://www.dakwerken-asse-vdv.be,VDV_N Dakwerken,0493 77 83 78,"Marie-Louisestraat 35, 1730 Asse",yes,vdv_nicky@telenet.be
http://www.schilderwerken-dens.be,Schilderwerken Dens bvba,03 644 44 04,"Condorlaan 41, 2100 Deurne (Antwerpen)",yes,ronnie.dens@telenet.be
http://www.vandenbussche.eu,Vandenbussche J. & Zoon,02 360 10 39,"Victor Mertensstraat 8, 1501 Buizingen (Halle)",yes,info@vandenbussche.eu
http://www.al-boreno.be,Al-Boreno,013 67 55 04,"Spoorwegstraat 17/1, 3980 Tessenderlo",yes,al-borenobvba@skynet.be
http://www.dakwerkendegietergooik.be,Dakwerken VCS & De Gieter,0477 91 04 45,"Bruneaustraat 15, 1755 Kester (Gooik)",yes,tom.de.gieter@gmail.com
None,Lymar,03 322 84 98,"Ter Stratenweg 58, 2520 Oelegem (Ranst)",yes,lymar@busmail.net
http://www.dakwerkendecoster.be,Dak & Gevelwerken De Coster & Zoon,03 326 01 29,"Dorpstraat 156, 2070 Burcht (Zwijndrecht)",yes,robertdecoster@msn.com
http://www.walfrabouw.be,Walfra Bouw,050 35 79 82,"Kannunik Bittremieuxlaan 68, 8340 Sijsele (Damme)",yes,info@walfrabouw.be
http://grondwerkenoortsantwerpen.be,Grondwerken Oorts,03 353 26 11,"Merksemsebaan 164, 2110 Wijnegem",yes,grondwerken.oorts@skynet.be
None,Manu SA,02 463 51 01,"De Lenglentierstraat 7, 1000 Brussel",yes,manusa@skynet.be
http://www.grondwerkenmoulaertfrans.be,Moulaert Frans,03 485 70 07,"Abelebaan 99, 2520 Broechem (Ranst)",yes,info@grondwerken-moulaert.be
http://www.lahey.be,Lahey Schilder- & Decoratiebedrijf,0495 22 40 78,"Paul Lebrunstraat 5, 3000 Leuven",yes,lahey.decor@telenet.be
http://dakwerkenvanderydt.be,Dakwerken & Renovatiewerken Vanderydt bvba,013 29 00 16,"Steenweg 20, 3540 Berbroek (Herk-de-Stad)",yes,dakwerken.vanderydt@telenet.be
None,Algemene Dakwerken De Cock,015 34 56 79,"Drieshoevestraat 12, 2220 Heist-op-den-Berg",yes,None
None,Ghysels Roger,02 569 47 69,"Open Luchtlaan 39, 1640 Sint-Genesius-Rode",yes,roger.ghysels@entrepriseghysels.be
http://www.edbdakwerken.be,EdB Dakwerken,03 454 10 97,"Molenlei 47, 2530 Boechout",yes,info@edbdakwerken.be
http://www.goeman-construction-team.be,Goeman Construction Team,09 329 57 50,"Boeregemstraat 19, 9840 Zevergem (De Pinte)",yes,goeman.jeffery@gmail.com
http://www.zandgroeven-roelants.be,Roelants Zandgroeven,016 73 48 35,"Aardebrug 28, 3210 Lubbeek",yes,info@zandgroevenroelants.be
http://www.symaerts.be,SYMAERTS BVBA,016 62 11 00,"Wijgmaalsesteenweg 120, 3012 Wilsele (Leuven)",yes,symaerts@skynet.be
http://www.dakwerkensmeets.be,Dakwerken Smeets BVBA,089 86 43 18,"Hoogstraat 39, 3680 Neeroeteren (Maaseik)",yes,info@dakwerkensmeets.be
http://www.dakwerken-dejaeger.be,DE JAEGER ALAIN,09 329 02 99,"Sint-Bernadettestraat 6021, 9000 Gent",yes,dejaeger.alain@telenet.be
http://www.dakwerkenwouters.com,Dakwerken Davy Wouters,0477 51 09 53,"Terlaak 27, 3980 Tessenderlo",yes,info@dakwerkenwouters.com
http://www.kindak.be,Kindak,016 60 13 41,"Mechelsesteenweg 67, 1910 Kampenhout",yes,info@kindak.be
http://www.dakwerkenbv.be,Volders Benny Dakwerken,013 31 32 27,"Mellaerstraat 5, 3560 Lummen",yes,volders.benny@telenet.be
http://www.dakwerkendefeyter.be,Dak- & Gevelwerken De Feyter,03 825 46 86,"Oudestraat 80, 2660 Hoboken (Antwerpen)",yes,defeyterloodgieterijbvba@telenet.be
http://www.grizaco.be,Grizaco,011 26 04 40,"Scheepvaartkaai 4, 3500 Hasselt",yes,grizaco@eurovia.com
http://www.afbraakwerken-verheyen.be,Afbraakwerken Verheyen & Zonen,03 475 99 93,"Vaartstraat 169, 2520 Ranst",yes,afbraakwerken-verheyen@telenet.be
http://www.rioconstruct.be,Rio Construct,0477 60 52 16,"Kleinewinkellaan 34/A, 1853 Strombeek-Bever (Grimbergen)",yes,info@rioconstruct.be
http://dakwerkendeweverhalle.be,Dakwerken De Wever,0479 93 71 28,"Jozef Michelstraat 20, 1500 Halle",yes,dakwerkendewever@gmail.com
http://www.ainaut.be,A. Ainaut,0466 90 11 85,1050 Elsene,yes,info@ainaut.be
http://www.gaethofsenco.be,Gaethofs & Co,011 42 52 20,"Holststraat 109, 3583 Paal (Beringen)",yes,info@gaethofsenco.be
http://www.van-raak.be,VAN RAAK L. bvba,014 65 04 43,"Hegge 102-104, 2381 Weelde (Ravels)",yes,info@van-raak.be
http://www.deridderafbraakwerken.be,De Ridder & Zonen Afbraakwerken,0475 79 01 52,"Meerbos 12, 9260 Wichelen",yes,rony.de.ridder@telenet.be
None,Algemene Dakwerken Van Rompaey BVBA,0499 15 95 71,"Grote Heidestraat 11, 2221 Booischot (Heist-op-den-Berg)",yes,None
http://www.rubbydak.be,Rubby Dak,015 51 88 93,"Nekkerspoelstraat 289, 2800 Mechelen",yes,arno@rubbydak.be
http://schilderwerkenverstraete.be,Decorateur Verstraete-Jonckheere & zoon,059 30 07 01,"Populierenlaan 41, 8430 Middelkerke",yes,maite@decorateurverstraete.be
http://www.beetsdakwerken.be,Beets Dakwerken,011 26 27 22,"Europaweg 15, 3560 Lummen",yes,info@beetsdakwerken.be
http://www.vrints.be,Vrints Bestrating,0495 87 46 87,"Leeuwerk 10, 2960 Sint-Lenaarts (Brecht)",yes,info@vrints.be
http://puriso-vochtbestrijding-isolatie.be,Puriso,0476 46 70 16,"Paddevijverstraat 65, 8900 Ieper",yes,info@puriso.be
